RowOrder,DocNo,SequenNo,ItemID,ItemName,UnitID,StockID,Price,Cost,Qty,RQty,RID,RDate,DlvDate,CQty,CID,CDate,ApID,TrackDate,DiscountText,DiscountAmt,TotalAmt,Description,AddID,AddDate,EditID,EditDate
249644,QT0006391,2,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ4.99+-/10ม,สน,,110,NULL,30,30,,NULL,2021-03-06 00:00:00.000,0,,NULL,,NULL,,0,3300,,sysinsert,2021-01-05 15:29:13.297,sysupdate,2021-01-05 15:29:13.297
249645,QT0006392,1,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ4.99+-10ม,สน,,107,NULL,600,600,,NULL,2021-01-12 00:00:00.000,0,,NULL,,NULL,,0,64200,,sysinsert,2021-01-05 15:29:13.323,sysupdate,2021-01-05 15:29:13.323
249654,QT0006393,8,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,,110,NULL,50,50,,NULL,2021-02-04 00:00:00.000,0,,NULL,,NULL,,0,5500,,sysinsert,2021-01-05 15:29:13.387,sysupdate,2021-01-05 19:46:56.810
249739,SO5644453,8,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,01,110,NULL,50,0,02,2021-01-07 09:55:00.000,2021-01-05 00:00:00.000,50,,2021-01-08 00:00:00.000,NULL,NULL,,0,5500,NULL,sysinsert,2021-01-05 16:44:54.493,sysupdate,2021-01-08 16:48:28.300
249756,SO5644454,2,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ4.99+-/10ม,สน,01,110,NULL,30,0,,NULL,2021-01-05 00:00:00.000,0,,NULL,,NULL,,0,3300,,sysinsert,2021-01-05 17:00:03.427,sysupdate,2021-01-07 19:45:25.520
249896,QT0006399,1,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ/10ม,สน,,110,NULL,20,20,,NULL,2021-03-07 00:00:00.000,0,,NULL,,NULL,,0,2200,,sysinsert,2021-01-06 09:17:14.117,sysupdate,2021-01-06 09:17:14.117
249912,SO5644467,1,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ/10ม,สน,01,110,NULL,20,0,,NULL,2021-01-06 00:00:00.000,0,,NULL,,NULL,,0,2200,,sysinsert,2021-01-06 09:32:17.237,sysupdate,2021-01-06 19:51:45.070
249995,QT0006404,1,01SR09M-4P99,เหล็กเส้น 09 มิลJ(ทอง) พับ4.99+-มอก10ม,สน,,109,NULL,86,86,,NULL,2021-01-13 00:00:00.000,0,,NULL,,NULL,,0,9374,,sysinsert,2021-01-06 10:47:33.020,sysupdate,2021-01-06 10:47:33.020
250046,SO5644488,2,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ,สน,01,110,NULL,30,0,,NULL,2021-01-06 00:00:00.000,0,,NULL,,NULL,,0,3300,,sysinsert,2021-01-06 11:47:49.577,sysupdate,2021-01-08 16:48:28.467
250059,QT0006406,2,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ4.99+-,สน,,110,NULL,1,1,,NULL,2021-02-05 00:00:00.000,0,,NULL,,NULL,,0,110,,sysinsert,2021-01-06 12:02:52.707,sysupdate,2021-01-06 12:02:52.707
250123,QT0006407,6,01SR09M-4P99,เหล็กเส้น 09 มิล J (ทอง) พับ4.99+-/200ส.,สน,,110,NULL,1,1,,NULL,2021-01-13 00:00:00.000,0,,NULL,,NULL,,0,110,,sysinsert,2021-01-06 13:33:19.090,sysupdate,2021-01-06 13:33:19.090
